continent,gdp_cap,life_exp,pop_millions
Africa,823.6856205,42.082,19.951656
Asia,944.0,62.069,47.76198
Africa,4811.060429,52.906000000000006,2.05508
Asia,1091.359778,63.785,28.90179
Europe,36797.93332,79.762,16.570613
Oceania,25185.00911,80.204,4.115771
Americas,2749.320965,72.899,5.675356
Africa,619.6768923999999,56.867,12.894865
Africa,2013.977305,46.859,135.031164
Europe,49357.19017,80.196,4.627926
Asia,22316.19287,75.64,3.204897
Asia,2605.94758,65.483,169.270617
Americas,9809.185636,75.53699999999999,3.242173
Americas,4172.838464,71.752,6.667147
Americas,7408.905561,71.421,28.674757
Asia,3190.481016,71.688,91.077287
Europe,15389.924680000002,75.563,38.518241
Europe,20509.64777,78.098,10.642836
Americas,19328.70901,78.74600000000001,3.942491
Africa,7670.122558,76.442,0.798094
Europe,10808.47561,72.476,22.276056
Africa,863.0884639000001,46.242,8.860588
Africa,1598.435089,65.528,0.199579
Asia,21654.83194,72.777,27.601038
Africa,1712.472136,63.062,12.267493
Europe,9786.534714,74.002,10.150265
Africa,862.5407561000001,42.568000000000005,6.144562
Asia,47143.17964,79.972,4.553009
Europe,18678.31435,74.663,5.447502
Europe,25768.25759,77.926,2.009245
Africa,926.1410683,48.159,9.118773
Africa,9269.657808,49.339,43.997828
Europe,28821.0637,80.941,40.448191
Asia,3970.095407,72.396,20.378239
Africa,2602.394995,58.556,42.292929
Africa,4513.480643,39.613,1.133066
Europe,33859.74835,80.884,9.031088
Europe,37506.41907,81.70100000000001,7.554661
Asia,4184.548089,74.143,19.314747
Asia,28718.27684,78.4,23.174294
Africa,1107.482182,52.517,38.13964
Asia,7458.396326999999,70.616,65.068149
Africa,882.9699437999999,58.42,5.701579
Americas,18008.50924,69.819,1.056608
Africa,7092.923025,73.923,10.276158
Europe,8458.276384,71.777,71.158647
Africa,1056.380121,51.542,29.170398
Europe,33203.26128,79.425,60.776238
Americas,42951.65309,78.242,301.139947
Americas,10611.46299,76.384,3.447496
Americas,11415.80569,73.747,26.084662
Asia,2441.576404,74.249,85.262356
Asia,3025.349798,73.422,4.018332
Asia,2280.769906,62.698,22.211743
Africa,1271.211593,42.38399999999999,11.746035
Africa,469.70929810000007,43.487,12.311143
